carrier_code,department,locality,country
91263000,"Amazonas","El Encanto",CO
91405000,"Amazonas","La Chorrera",CO
91407000,"Amazonas","La Pedrera",CO
91001000,"Amazonas","Leticia",CO
91430000,"Amazonas","La Victoria Pacoa",CO
91530000,"Amazonas","Puerto Alegria",CO
91536000,"Amazonas","Puerto Arica",CO
91540000,"Amazonas","Puerto Nariño",CO
91669000,"Amazonas","Puerto Santander",CO
91798000,"Amazonas","Tarapaca",CO
05002000,"Antioquia","Abejorral",CO
05004000,"Antioquia","Abriaqui",CO
05021000,"Antioquia","Alejandria",CO
05030000,"Antioquia","Amaga",CO
05031000,"Antioquia","Amalfi",CO
05034000,"Antioquia","Andes",CO
05036000,"Antioquia","Angelopolis",CO
05038000,"Antioquia","Angostura",CO
05040000,"Antioquia","Anori",CO
05042000,"Antioquia","Santafe De Antioquia",CO
05044000,"Antioquia","Anza",CO
05837001,"Antioquia","Currulao",CO
05591004,"Antioquia","Doradal",CO
05045000,"Antioquia","Apartado",CO
05051000,"Antioquia","Arboletes",CO
05055000,"Antioquia","Argelia",CO
05059000,"Antioquia","Armenia",CO
05079000,"Antioquia","Barbosa",CO
05086000,"Antioquia","Belmira",CO
05088000,"Antioquia","Bello",CO
05091000,"Antioquia","Betania",CO
05093000,"Antioquia","Betulia",CO
05101000,"Antioquia","Ciudad Bolivar",CO
05107000,"Antioquia","Briceño",CO
05113000,"Antioquia","Buritica",CO
05120000,"Antioquia","Caceres",CO
05125000,"Antioquia","Caicedo",CO
05129000,"Antioquia","Caldas",CO
05134000,"Antioquia","Campamento",CO
05138000,"Antioquia","Cañasgordas",CO
05142000,"Antioquia","Caracoli",CO
05145000,"Antioquia","Caramanta",CO
05147000,"Antioquia","Carepa",CO
05148000,"Antioquia","El Carmen De Viboral",CO
05150000,"Antioquia","Carolina",CO
05154000,"Antioquia","Caucasia",CO
05172000,"Antioquia","Chigorodo",CO
05190000,"Antioquia","Cisneros",CO
05197000,"Antioquia","Cocorna",CO
05206000,"Antioquia","Concepcion",CO
05209000,"Antioquia","Concordia",CO
05212000,"Antioquia","Copacabana",CO
05234000,"Antioquia","Dabeiba",CO
05237000,"Antioquia","Donmatias",CO
05240000,"Antioquia","Ebejico",CO
05250000,"Antioquia","El Bagre",CO
05264000,"Antioquia","Entrerrios",CO
05266000,"Antioquia","Envigado",CO
05282000,"Antioquia","Fredonia",CO
05284000,"Antioquia","Frontino",CO
05306000,"Antioquia","Giraldo",CO
05308000,"Antioquia","Girardota",CO
05310000,"Antioquia","Gomez Plata",CO
05313000,"Antioquia","Granada",CO
05315000,"Antioquia","Guadalupe",CO
05318000,"Antioquia","Guarne",CO
05321000,"Antioquia","Guatape",CO
05347000,"Antioquia","Heliconia",CO
05353000,"Antioquia","Hispania",CO
05360000,"Antioquia","Itagui",CO
05361000,"Antioquia","Ituango",CO
05364000,"Antioquia","Jardin",CO
05368000,"Antioquia","Jerico",CO
05376000,"Antioquia","La Ceja",CO
05380000,"Antioquia","La Estrella",CO
05390000,"Antioquia","La Pintada",CO
05400000,"Antioquia","La Union",CO
05411000,"Antioquia","Liborina",CO
05425000,"Antioquia","Maceo",CO
05440000,"Antioquia","Marinilla",CO
05001000,"Antioquia","Medellín",CO
05467000,"Antioquia","Montebello",CO
05475000,"Antioquia","Murindo",CO
05480000,"Antioquia","Mutata",CO
05483000,"Antioquia","Nariño",CO
05490000,"Antioquia","Necocli",CO
05495000,"Antioquia","Nechi",CO
05501000,"Antioquia","Olaya",CO
05541000,"Antioquia","Peñol",CO
05543000,"Antioquia","Peque",CO
05576000,"Antioquia","Pueblorrico",CO
05579000,"Antioquia","Puerto Berrio",CO
05585000,"Antioquia","Puerto Nare",CO
05591000,"Antioquia","Puerto Triunfo",CO
05604000,"Antioquia","Remedios",CO
05607000,"Antioquia","Retiro",CO
05615000,"Antioquia","Rionegro",CO
05628000,"Antioquia","Sabanalarga",CO
05631000,"Antioquia","Sabaneta",CO
05642000,"Antioquia","Salgar",CO
05647000,"Antioquia","San Andres De Cuerquia",CO
05649000,"Antioquia","San Carlos",CO
05652000,"Antioquia","San Francisco",CO
05656000,"Antioquia","San Jeronimo",CO
05658000,"Antioquia","San Jose De La Montaña",CO
05659000,"Antioquia","San Juan De Uraba",CO
05660000,"Antioquia","San Luis",CO
05664000,"Antioquia","San Pedro De Los Milagros",CO
05665000,"Antioquia","San Pedro De Uraba",CO
05667000,"Antioquia","San Rafael",CO
05670000,"Antioquia","San Roque",CO
05674000,"Antioquia","San Vicente",CO
05679000,"Antioquia","Santa Barbara",CO
05686000,"Antioquia","Santa Rosa De Osos",CO
05690000,"Antioquia","Santo Domingo",CO
05697000,"Antioquia","El Santuario",CO
05736000,"Antioquia","Segovia",CO
05756000,"Antioquia","Sonson",CO
05761000,"Antioquia","Sopetran",CO
05789000,"Antioquia","Tamesis",CO
05790000,"Antioquia","Taraza",CO
05792000,"Antioquia","Tarso",CO
05809000,"Antioquia","Titiribi",CO
05819000,"Antioquia","Toledo",CO
05837000,"Antioquia","Turbo",CO
05842000,"Antioquia","Uramita",CO
05847000,"Antioquia","Urrao",CO
05854000,"Antioquia","Valdivia",CO
05856000,"Antioquia","Valparaiso",CO
05858000,"Antioquia","Vegachi",CO
05861000,"Antioquia","Venecia",CO
05873000,"Antioquia","Vigia Del Fuerte",CO
05885000,"Antioquia","Yali",CO
05887000,"Antioquia","Yarumal",CO
05890000,"Antioquia","Yolombo",CO
05893000,"Antioquia","Yondo",CO
05895000,"Antioquia","Zaragoza",CO
81001000,"Arauca","Arauca",CO
81065000,"Arauca","Arauquita",CO
81220000,"Arauca","Cravo Norte",CO
81300000,"Arauca","Fortul",CO
81591000,"Arauca","Puerto Rondon",CO
81736000,"Arauca","Saravena",CO
81794000,"Arauca","Tame",CO
08001000,"Atlantico","Barranquilla",CO
08078000,"Atlantico","Baranoa",CO
08137000,"Atlantico","Campo De La Cruz",CO
08141000,"Atlantico","Candelaria",CO
08296000,"Atlantico","Galapa",CO
08372000,"Atlantico","Juan De Acosta",CO
08421000,"Atlantico","Luruaco",CO
08433000,"Atlantico","Malambo",CO
08436000,"Atlantico","Manati",CO
08520000,"Atlantico","Palmar De Varela",CO
08549000,"Atlantico","Piojo",CO
08558000,"Atlantico","Polonuevo",CO
08560000,"Atlantico","Ponedera",CO
08573000,"Atlantico","Puerto Colombia",CO
08606000,"Atlantico","Repelon",CO
08634000,"Atlantico","Sabanagrande",CO
08638000,"Atlantico","Sabanalarga",CO
08675000,"Atlantico","Santa Lucia",CO
08685000,"Atlantico","Santo Tomas",CO
08758000,"Atlantico","Soledad",CO
08770000,"Atlantico","Suan",CO
08832000,"Atlantico","Tubara",CO
08849000,"Atlantico","Usiacuri",CO
13001000,"Bolivar","Cartagena",CO
13006000,"Bolivar","Achi",CO
13030000,"Bolivar","Altos Del Rosario",CO
13042000,"Bolivar","Arenal",CO
13052000,"Bolivar","Arjona",CO
13062000,"Bolivar","Arroyohondo",CO
13074000,"Bolivar","Barranco De Loba",CO
13140000,"Bolivar","Calamar",CO
13160000,"Bolivar","Cantagallo",CO
13188000,"Bolivar","Cicuco",CO
13212000,"Bolivar","Cordoba",CO
13222000,"Bolivar","Clemencia",CO
13244000,"Bolivar","El Carmen De Bolivar",CO
13248000,"Bolivar","El Guamo",CO
13268000,"Bolivar","El Peñon",CO
13300000,"Bolivar","Hatillo De Loba",CO
13430000,"Bolivar","Magangue",CO
13433000,"Bolivar","Mahates",CO
13440000,"Bolivar","Margarita",CO
13442000,"Bolivar","Maria La Baja",CO
13458000,"Bolivar","Montecristo",CO
13468000,"Bolivar","Mompos",CO
13473000,"Bolivar","Morales",CO
13490000,"Bolivar","Norosi",CO
13549000,"Bolivar","Pinillos",CO
13580000,"Bolivar","Regidor",CO
13600000,"Bolivar","Rio Viejo",CO
13620000,"Bolivar","San Cristobal",CO
13647000,"Bolivar","San Estanislao",CO
13650000,"Bolivar","San Fernando",CO
13654000,"Bolivar","San Jacinto",CO
13655000,"Bolivar","San Jacinto Del Cauca",CO
13657000,"Bolivar","San Juan Nepomuceno",CO
13667000,"Bolivar","San Martin De Loba",CO
13670000,"Bolivar","San Pablo",CO
13673000,"Bolivar","Santa Catalina",CO
13683000,"Bolivar","Santa Rosa",CO
13688000,"Bolivar","Santa Rosa Del Sur",CO
13744000,"Bolivar","Simiti",CO
13760000,"Bolivar","Soplaviento",CO
13780000,"Bolivar","Talaigua Nuevo",CO
13810000,"Bolivar","Tiquisio",CO
13836000,"Bolivar","Turbaco",CO
13838000,"Bolivar","Turbana",CO
13873000,"Bolivar","Villanueva",CO
13894000,"Bolivar","Zambrano",CO
15001000,"Boyaca","Tunja",CO
15022000,"Boyaca","Almeida",CO
15047000,"Boyaca","Aquitania",CO
15051000,"Boyaca","Arcabuco",CO
15087000,"Boyaca","Belen",CO
15090000,"Boyaca","Berbeo",CO
15092000,"Boyaca","Beteitiva",CO
15097000,"Boyaca","Boavita",CO
15104000,"Boyaca","Boyaca",CO
15106000,"Boyaca","Briceño",CO
15109000,"Boyaca","Buenavista",CO
15114000,"Boyaca","Busbanza",CO
15131000,"Boyaca","Caldas",CO
15135000,"Boyaca","Campohermoso",CO
15162000,"Boyaca","Cerinza",CO
15172000,"Boyaca","Chinavita",CO
15176000,"Boyaca","Chiquinquira",CO
15180000,"Boyaca","Chiscas",CO
15183000,"Boyaca","Chita",CO
15185000,"Boyaca","Chitaraque",CO
15187000,"Boyaca","Chivata",CO
15189000,"Boyaca","Cienega",CO
15204000,"Boyaca","Combita",CO
15212000,"Boyaca","Coper",CO
15215000,"Boyaca","Corrales",CO
15218000,"Boyaca","Covarachia",CO
15223000,"Boyaca","Cubara",CO
15224000,"Boyaca","Cucaita",CO
15226000,"Boyaca","Cuitiva",CO
15232000,"Boyaca","Chiquiza",CO
15236000,"Boyaca","Chivor",CO
15238000,"Boyaca","Duitama",CO
15244000,"Boyaca","El Cocuy",CO
15248000,"Boyaca","El Espino",CO
15272000,"Boyaca","Firavitoba",CO
15276000,"Boyaca","Floresta",CO
15293000,"Boyaca","Gachantiva",CO
15296000,"Boyaca","Gameza",CO
15299000,"Boyaca","Garagoa",CO
15317000,"Boyaca","Guacamayas",CO
15322000,"Boyaca","Guateque",CO
15325000,"Boyaca","Guayata",CO
15332000,"Boyaca","Guican",CO
15362000,"Boyaca","Iza",CO
15367000,"Boyaca","Jenesano",CO
15368000,"Boyaca","Jerico",CO
15377000,"Boyaca","Labranzagrande",CO
15380000,"Boyaca","La Capilla",CO
